VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Administrativni referent m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-699444-699444/,26.06.2019,04:02,10.06.2019,KataleaConsulting d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-699444-699444/,"KataleaConsulting d.o.o. je kadrovsko svetovalno podjetje, ki združuje različne strokovnjake z znanjem in dolgoletnimi izkušnjami iz kadrovskega področja. Naši naročniki nam zaupajo zaradi strokovnosti in predanosti delu.Za našega naročnika iz Ljubljane, vodilno podjetje v svoji dejavnosti, z uveljavljeno in prepoznavno blagovno znamko iščemo Administrativnega referenta m/ž. Opis delovnega mesta   Naloge in odgovornosti Svetovanje in podpora strankam preko telefona in elektronske pošte. Reševanje reklamacij. Pošiljanje obvestil skupinam uporabnikov. Spremljanje ponudb in cen konkurence in na trgu na splošno. Preverjanje ponudnikov glede korektnosti izvajanja pogodbenih določil. Analiza prodaje ponudb in ugotavljanje razlogov ob slabi prodaji. Spremljanje izgleda internetnega portala naročnika in opozarjanje na pomanjkljivosti. Klicanje baze obstoječih ponudnikov z namenom aktualiziranja obstoječe baze ponudnikov in ažuriranje podatkov v CRM in hkrati obnovitve pogodb za ponovno objavo že dogovorjenih ponudb. Priprava pogodb in komunikacija tako s slovenskimi kot tujimi poslovnimi partnerji po nalogu svoje vodje. Priprava prezentacij s kratkim povzetkom vsebine vseh partnerskih oglaševalskih medijev za tržnike. Pisanje in ažuriranje tekstov ponudb. Administrativna in organizacijska dela dodeljena po nalogu svoje vodje. Nadomeščanja drugih oddelkov v času dopustov in odsotnosti.    Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: Vsaj 3-4 let delovnih izkušenj, od tega vsaj 2 leti v klicnem centru ali centru za pomoč uporabnikom. Aktivno (ustno in pisno) znanje angleškega jezika. Aktivno (ustno in pisno) znanje hrvaškega jezika. Zaključena najmanj srednješolska izobrazba. Aktivno obvladovanje dela z računalnikom. Programi: Excel, Outlook, Word, Google docs. Zahtevane lastnosti: sposobnost večopravilnosti, prilagodljivost, proaktivnost, organiziranost, samostojnosti in natančnost. Bivališče v Ljubljani ali bližnji okolici. Dobro delovanje v timu in hkrati dobra sposobnost samostojnega dela. Odgovorno in lojalno obdelovanje zaupnih podatkov. Sposobnost prenašanja obremenitev zaradi opravljanja delovnih nalog.    Ponujamo   Delovno mesto ponuja: Redno in stimulativno plačilo (zagotovljena osnova + nagrada po dogovoru). Delovni čas od 9. do 17. ure. Delo v mladem in dinamičnem kolektivu. Zaposlitev se sklene za določen čas, možnost kasnejšega podaljšanja za nedoločen čas.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas"
Administrator kakovosti (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-kakovosti-mz-700602-700602/,26.06.2019,04:00,20.06.2019,RLS d.o.o.,Komenda,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-kakovosti-mz-700602-700602/,"Najzaposlovalec 2017 in 2018, najizvoznik 2016, gazela 2015 so priznanja, ki podjetje RLS d.o.o. uvrščajo v sam vrh slovenskega gospodarstva.V podjetju RLS že 30 let razvijamo, izdelujemo in tržimo magnetne senzorje pomika in zasuka. Naše izdelke odlikujejo visoka natančnost in odpornost na zunanje dejavnike, zato se vgrajujejo v napredne sisteme v medicini, robotiki in električnih vozilih.Pri delu spodbujamo inovativnost in ustvarjalnost, uspešnost pa gradimo z integriteto, odličnostjo, s spoštovanjem sodelavcev in poslovnih partnerjev ter s posluhom za raznolikost.V skupino Kakovost vabimo novo sodelavko ali sodelavca na delovno mesto Administrator kakovosti (m/ž). Opis delovnega mesta   Naloge in odgovornosti aktivno vodenje obravnave vprašanj povezanih s kakovostjo, usposabljanje zaposlenih za uporabo metod za reševanje problemov. Skrb za prenos znanj, ki izhajajo iz neskladnosti in drugih vprašanj kakovosti, na sorodna relavantna področja (lessons learned); vzdrževanje baz, registrov in zapisov kakovosti; sodelovanje in podpora notranjim presojam kakovosti v organizaciji; sodelovanje in podpora drugim oddelkom pri pripravi dokumentov sistema vodenja kakovosti, aktivno vodenje reševanj problemov ter skrb za zapis in prenos znanj; priprava poročil.    Pričakujemo   Od kandidata pričakujemo: urejeno, samostojno in komunikativno osebo, ki rada dela z ljudmi; vestnost in natančnost pri administrativnih delih; samoiniciativnost in sposobnost postavljanja prioritet ter opravljanja več nalog hkrati; poznavanje načel standarda kakovosti ISO 9001:2015 ter IATF 16949:2016; napredno poznavanje orodij kakovosti za reševanje problemov in ugotavljanje rizikov; dobra pismenost v slovenskem in angleškem jeziku; tekoča uporaba osnovnih računalniških orodij MS Office, napredna uporaba MS Excel, zaželeno poznavanje sistema Pantheon (ni pogoj); izobrazbo najmanj 6. stopnje; zaželene delovne izkušenje na podobnih delovnih mestih; izpit B kategorije.    Ponujamo   Delovno mesto ponuja: Nudimo vam delo v uspešnem mednarodnem podjetju in veliko priložnosti za strokovno rast. Ponujamo sodelovanje za določen čas enega leta z možnostjo podaljšanja."
Administrator m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-699489-699489/,26.06.2019,04:02,10.06.2019,"SKI & SEA, d.o.o.",Polzela,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-699489-699489/,"Podjetje Ski&Sea d.o.o. je generalni uvoznik in serviser BRP (Bombardier Recreational Products) rekreativnih vozil, plovil in dodatne opreme. V prijeten kolektiv vabimo odgovorne in pozitivno naravnane osebe, željne pridobivanja novega znanja ter možnosti rasti in osebnega razvoja. Ekipno delo za nas predstavlja ključ do upeha in doseganja ciljev. Če ste se pri tem prepoznali in se ne bojite izzivov, nam pošljite svojo prijavo. Opis delovnega mesta   Naloge in odgovornosti sprejem in komunikacija s strankami, urejanje baz podatkov, oglaševanje na socialnih omrežjih, razna administrativna in organizacijska dela.    Pričakujemo   Od kandidata pričakujemo: IV., V., VI., stopnjo izobrazbe trgovske, ekonomske, tehnične ali druge ustrezne smeri, znanje angleškega in hrvaškega jezika; zaželeno znanje nemškega jezika,  dobre komunikacijske in organizacijske sposobnosti,  računalniška pismenost (Word, Excel,…), natančnost in zanesljivost, iznajdljivost in fleksibilnost, sposobnost analitičnega razmišljanja, sposobnost dela v timu, pozitiven odnos do dela in do reševanja težav, vozniški izpit B kategorije.    Ponujamo   Delovno mesto ponuja: prijetno delovno okolje, možnost osebnega in strokovnega razvoja, možnost zaposlitve na dolgi rok, dopoldanski delovnik, redno plačilo.    Poskusno delo: 1 mesec"
Administrator m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-700389-700389/,26.06.2019,04:01,18.06.2019,"KREMENITI, trgovina, servis, izvoz, uvoz, proizvodnja, d.o.o.",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-700389-700389/,Administrator m/ž
Administrator v financah m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-699366-699366/,26.06.2019,04:02,07.06.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-699366-699366/,
Administrator v komerciali (m/ž) ,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-komerciali-mz-699999-699999/,26.06.2019,04:01,14.06.2019,"RAM 2, d.o.o.",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-komerciali-mz-699999-699999/,"RAM 2 d.o.o. je eno od vodilnih distribucijskih podjetij v Sloveniji. Pomemben steber podjetja je šolsko pisarniški oddelek, kjer zastopamo mednarodne priznane blagovne znamke (Staedtler, Pelika, 3M, Herlitz,…). Opis delovnega mesta   Naloge in odgovornosti priprava prodajnih in tržnih analiz priprava in obdelava naročil, vračilnih nalogov, fakturiranje komunikacija z strankami priprava ponudb in spremljanje ter izvajanje aktivnosti za realizacijo ponudb ažurna in natančna priprava poročil po naročilu nadrejenega pregled odprtih postavk kupcev, izterjava priprava ostalih poročil za potrebe kontrole poslovanja ostale naloge po navodilu nadrejenega    Pričakujemo   Od kandidata pričakujemo: najmanj V. stopnjo izobrazbe ekonomske ali poslovne smeri vsaj 2 leti delovnih izkušenj na podobnem delovnem mestu odlično komunikacijo s strankami dobro računalniško pismenost: napredno znanje MS office obvezno napredno znanje Excela samoiniciativnost, sistematičnost in natančnost analitično ter odgovorno osebo aktivno znanje angleškega jezika željo po osebnem in kariernem razvoju sposobnost samostojnega dela in dela v timu ciljno orientiranost in odgovornost.    Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas z možnostjo zaposlitve za nedoločen čas možnost napredovanja, osebnega in kariernega razvoja proaktivno, dinamično in samostojno delo"
Administrator v prodaji (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-prodaji-mz-700128-700128/,26.06.2019,04:01,17.06.2019,"KAM-A, Igor Marinšek s.p.",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-prodaji-mz-700128-700128/,"Priznana mednarodna banka angažira sodelavca / sodelavko vzamemo na poizkusno delo za tri mesece, kjer bo sodelovala pri organizaciji sestankov strank z bančnimi sodelavci. Najmanj 5 stopnja izobrazbe.Če vas veseli delo z ljudmi in jim bi radi prinesli kaj novega in koristnega, to je priložnost za prodorne posameznike, timske igralce. Stimulativen način nagrajevanja. Izobraževanje sodelavcev se konča z licenco za tiste najprodornejše. Opis delovnega mesta   Naloge in odgovornosti Naloga novega sodelavca je organizacija sestankov z našimi svetovalci v prostorih banke ali na terenu. Več sestankov pomeni večji zaslužek. Delo s telefonom.   Delovni čas po dogovoru   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: urejenost, odgovornost, komunikativnost in motivacijo za delo.    Ponujamo   Delovno mesto ponuja: delo v mednarodnem podjetju, vodilni banki za osebno bančništvo v regiji Osrednje Evrope.    Oblika zaposlitve ali sodelovanja pogodbeno delo   Mesečno plačilo                               700 - 900 € bruto                                                                         Plačilo na osnovi uspešnosti"
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-699375-699375/,26.06.2019,04:02,07.06.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-699375-699375/,
Agent za delo v klicnem centru m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-699821-699821/,26.06.2019,04:01,12.06.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-699821-699821/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje.Delo poteka od ponedeljka do petka vsak dan od 8:00 do 16:00 h.   Pričakujemo   Od kandidata pričakujemo: Zaželene so izkušnje iz tega področja.Agent mora biti komunikativn, ambiciozen, pozitivno naravnan in mora imeti veselje do dela. Smo mlad tim, vsi skupaj stremimo, da v pozitivnem okolju dosegamo mesečne in letne plane.   Ponujamo   Delovno mesto ponuja: Nudimo redno zaposlitev z poskusno dobo 1 mesec, kasneje možnost tudi za nedoločen čas.Poleg fiksne plače je tudi stimulacija."
Aktuar (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/aktuar-mz-700735-700735/,26.06.2019,04:00,21.06.2019,Adriatic Slovenica d.d.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/aktuar-mz-700735-700735/,Aktuar (m/ž)
