VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
"Administrativni asistent logist (referent, fakturist) m/ž",https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-asistent-logist-referent-fakturist-mz-693929-693929/,24.04.2019,04:01,11.04.2019,Bioles Horizont d.o.o.,Maribor,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-asistent-logist-referent-fakturist-mz-693929-693929/,"Smo zasebno podjetje z 25. letno tradicijo na področju oskrbe z energenti iz lesne biomase tako doma kot v tujini in se nenehno trudimo ponujati kakovostne izdelke in storitve najbolj zahtevnim strankam na področju oskrbe z lesno biomaso, trdimi gorivi ter tehniko ogrevalnih naprav. Naši trgi so predvsem Slovenija, Italija, Avstrija ter Nemčija.www.bioles-horizont.siV svoj kolektiv vabimo Administrativnega asistenta logistike (referent, fakturist) m/ž. Opis delovnega mesta   Naloge in odgovornosti operativna podpora oddelku prodaje, organizacija prevozov, tesno sodelovanje s kupci (sprejemanje in sprovajanje naročil), dnevno preverjanje in vnos vhodnih računov in prilog, vnos podatkov (naročilo, odprema) v računalniški program, izdaja faktur, priprava dokumentacije za uvoz blaga, administrativna podpora komercialistom, upravljanje z dokumenti in nadzor nad njimi (redno odlaganje poslovne dokumentacije v rednike), sodelovanje na inventurah, ostala dela po navodilu nadrejene osebe.    Pričakujemo   Od kandidata pričakujemo: zahtevana izobrazba: V. - VI2. ekonomske, prometne ali druge ustrezne smeri, natančnost, zanesljivost, vestnost, urejenost in odgovornost do dela, najmanj 5 let delovnih izkušenj na sorodnem področju, odlična računalniška pismenost, aktivno znanje uporabe orodji MS Office, znanje enega tujega jezika (angleško ali nemško), prednost imajo kandidati z znanjem tudi italijanskega jezika, odlične komunikacijske in organizacijske sposobnosti, poznavanje osnov nabavnega in prodajnega procesa, sposobnost samostojnega in timskega dela, samostojnost in odgovornost.    Ponujamo   Delovno mesto ponuja: zaposlitev za nedoločen čas s šest mesečnim poskusnim delom, profesionalni razvoj in rast znotraj ambicioznega tima, stimulativno nagrajevanje, možnost nenehnega izobraževanja, delo v mednarodnem podjetju in prijetnem kolektivu."
Administrativni referent m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-691952-691952/,24.04.2019,04:03,26.03.2019,KataleaConsulting d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-691952-691952/,"KataleaConsulting d.o.o. je kadrovsko svetovalno podjetje, ki združuje različne strokovnjake z znanjem in dolgoletnimi izkušnjami iz kadrovskega področja. Naši naročniki nam zaupajo zaradi strokovnosti in predanosti delu.Za našega naročnika iz Ljubljane, vodilno podjetje v svoji dejavnosti, z uveljavljeno in prepoznavno blagovno znamko iščemo ADMINISTRATIVNEGA REFERENTA M/Ž. Opis delovnega mesta   Naloge in odgovornosti Svetovanje in podpora strankam preko telefona in elektronske pošte. Reševanje reklamacij. Pošiljanje obvestil skupinam uporabnikov. Spremljanje ponudb in cen konkurence in na trgu na splošno. Preverjanje ponudnikov glede korektnosti izvajanja pogodbenih določil. Analiza prodaje ponudb in ugotavljanje razlogov ob slabi prodaji. Spremljanje izgleda internetnega portala naročnika in opozarjanje na pomanjkljivosti. Klicanje baze obstoječih ponudnikov z namenom aktualiziranja obstoječe baze ponudnikov in ažuriranje podatkov v CRM in hkrati obnovitve pogodb za ponovno objavo že dogovorjenih ponudb. Priprava pogodb in komunikacija tako s slovenskimi kot tujimi poslovnimi partnerji po nalogu svoje vodje. Priprava prezentacij s kratkim povzetkom vsebine vseh partnerskih oglaševalskih medijev za tržnike. Pisanje in ažuriranje tekstov ponudb. Administrativna in organizacijska dela dodeljena po nalogu svoje vodje. Nadomeščanja drugih oddelkov v času dopustov in odsotnosti.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Vsaj 3-4 leta delovnih izkušenj, od tega vsaj 2 leti v klicnem centru ali centru za pomoč uporabnikom. Aktivno (ustno in pisno) znanje angleškega jezika. Aktivno (ustno in pisno) znanje hrvaškega jezika. Zaključena najmanj srednješolska izobrazba. Aktivno obvladovanje dela z računalnikom. Programi: Excel, Outlook, Word, Google docs. Zahtevane lastnosti: sposobnost večopravilnosti, prilagodljivost, proaktivnost, organiziranost, samostojnosti in natančnost. Bivališče v Ljubljani ali bližnji okolici. Zaposlitev se sklene za določen čas, možnost kasnejšega podaljšanja za nedoločen čas. Dobro delovanje v timu in hkrati dobra sposobnost samostojnega dela. Odgovorno in lojalno obdelovanje zaupnih podatkov. Sposobnost prenašanja obremenitev zaradi opravljanja delovnih nalog.    Ponujamo   Delovno mesto ponuja: Redno in stimulativno plačilo (zagotovljena osnova + nagrada po dogovoru). Delovni čas od 9. do 17. ure. Delo v mladem in dinamičnem kolektivu.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas"
Administrativni referent m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-694456-694456/,24.04.2019,04:01,17.04.2019,KataleaConsulting d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrativni-referent-mz-694456-694456/,"KataleaConsulting d.o.o. je kadrovsko svetovalno podjetje, ki združuje različne strokovnjake z znanjem in dolgoletnimi izkušnjami iz kadrovskega področja. Naši naročniki nam zaupajo zaradi strokovnosti in predanosti delu.Za našega naročnika iz Ljubljane, vodilno podjetje v svoji dejavnosti, z uveljavljeno in prepoznavno blagovno znamko iščemo ADMINISTRATIVNEGA REFERENTA M/Ž. Opis delovnega mesta   Naloge in odgovornosti Svetovanje in podpora strankam preko telefona in elektronske pošte. Reševanje reklamacij. Pošiljanje obvestil skupinam uporabnikov. Spremljanje ponudb in cen konkurence in na trgu na splošno. Preverjanje ponudnikov glede korektnosti izvajanja pogodbenih določil. Analiza prodaje ponudb in ugotavljanje razlogov ob slabi prodaji. Spremljanje izgleda internetnega portala naročnika in opozarjanje na pomanjkljivosti. Klicanje baze obstoječih ponudnikov z namenom aktualiziranja obstoječe baze ponudnikov in ažuriranje podatkov v CRM in hkrati obnovitve pogodb za ponovno objavo že dogovorjenih ponudb. Priprava pogodb in komunikacija tako s slovenskimi kot tujimi poslovnimi partnerji po nalogu svoje vodje. Priprava prezentacij s kratkim povzetkom vsebine vseh partnerskih oglaševalskih medijev za tržnike. Pisanje in ažuriranje tekstov ponudb. Administrativna in organizacijska dela dodeljena po nalogu svoje vodje. Nadomeščanja drugih oddelkov v času dopustov in odsotnosti.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Vsaj 3-4 leta delovnih izkušenj, od tega vsaj 2 leti v klicnem centru ali centru za pomoč uporabnikom. Aktivno (ustno in pisno) znanje angleškega jezika. Aktivno (ustno in pisno) znanje hrvaškega jezika. Zaključena najmanj srednješolska izobrazba. Aktivno obvladovanje dela z računalnikom. Programi: Excel, Outlook, Word, Google docs. Zahtevane lastnosti: sposobnost večopravilnosti, prilagodljivost, proaktivnost, organiziranost, samostojnosti in natančnost. Bivališče v Ljubljani ali bližnji okolici. Zaposlitev se sklene za določen čas, možnost kasnejšega podaljšanja za nedoločen čas. Dobro delovanje v timu in hkrati dobra sposobnost samostojnega dela. Odgovorno in lojalno obdelovanje zaupnih podatkov. Sposobnost prenašanja obremenitev zaradi opravljanja delovnih nalog.    Ponujamo   Delovno mesto ponuja: Redno in stimulativno plačilo (zagotovljena osnova + nagrada po dogovoru). Delovni čas od 9. do 17. ure. Delo v mladem in dinamičnem kolektivu.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas"
Administrator m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-694015-694015/,24.04.2019,04:01,12.04.2019,INTERLINGUA d.o.o.,Maribor,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-694015-694015/,"Iščemo osebo, ki obvlada slepo desetprstno tipkanje po nareku. Delo poteka od doma. Opis delovnega mesta   Naloge in odgovornosti Prepisovanje besedil. Tipkanje po nareku.    Delovni čas po dogovoru   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: Znanje slepega desetprstnega tipkanja.    Ponujamo   Delovno mesto ponuja: Delo od doma.    Oblika zaposlitve ali sodelovanja pogodbeno delo   Mesečno plačilo                   Po dogovoru"
Administrator m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-694543-694543/,24.04.2019,04:01,17.04.2019,Kariera d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-mz-694543-694543/,
Administrator v financah m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-692950-692950/,24.04.2019,04:03,02.04.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-692950-692950/,
Administrator v oddelku financ m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-oddelku-financ-mz-693299-693299/,24.04.2019,04:02,05.04.2019,Naton d.o.o.,Logatec,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-oddelku-financ-mz-693299-693299/,"Opis delovnega mesta   Naloge in odgovornosti Izvajanje vseh finančno administrativnih delovnih nalog v okviru oddelka Financ, saj bo v prvi fazi v slovenskem podjetju zaposlena le ena oseba na tem oddelku, ki bo podpora oddelku Financ v Švici. Delo obsega knjiženje računov, pomoč pri usklajevanju računov, poročanje o statusu računov in odstopanjih, podporo pri pripravi budgeta in vsa ostala finančno administrativna dela. Odgovornost za reševanje računovodskih vprašanja (s pomočjo zunanjega računovodskega servisa). Odgovornost za izvedbo plačilnega prometa oz. finančnih transakcij. Vnos podatkov v informacijski sistem in skrb za ažurno dokumentacijo. Delo obsega podporo in poročanje oddelku financ v matični družbi v Švici. Oddelek Financ bo v začetni fazi voden s strani matičnega podjetja v Švici (potrebno je aktivno znanje angleščine, nemščina je zaželena), računovodstvo bo vodeno s strani zunanjega izvajalca. Odgovornost za pravočasno poročanje Finančnemu direktorju v matičnem podjetju. Poročanje direktorju družbe Lonstroff v Sloveniji. Komunikacija z dobavitelji, strankami, sodelavci. Podpora direktorju v smislu opravljanja splošnih administrativnih delovnih nalog. Po potrebi podpora oddelku HR (osnovne naloge). Izvajanje drugih delovnih nalog v skladu s potrebami delovnega procesa upoštevaje kvalifikacije in skladno z navodili delodajalca oz. nesporedno nadrejene osebe. Izvajanje dela skladno z načeli zdravja in varstva pri delu. Izbrani kandidat bo odgovoren za pravilnost dokumentacije (skrb, da je podpisana s strani ustreznih podpisnikov in ustrezno distribuirana). Odgovornost za doseganje standardov kvalitete, okoljevarstvenih standardov ter standardov zdravja in varstva pri delu.    Delovni čas polni delovni čas   Pričakujemo   Od kandidata pričakujemo: Vsaj 2 leti delovnih izkušenj na področju financ. Zaključeno višješolsko izobrazbo ustrezne smeri. Zaželene so izkušnje s področja osnovnega knjigovodstva in finančnih transakcij, poznavanje mednarodno veljavnih finančnih regulativ (Generally Accepted Ac-counting Principles (GAAP). Aktivno znanje angleškega jezika (nivo C1), aktivno znanje slovenskega jezika, znanje nemškega jezika je prednost, ni pa nujni predpogoj. Osebnostne lastnosti: sposobnost hitrega učenja in sprejemanja odločitev, sposobnost proaktivne podpore sodelavcem v Švici, sposobnost komunikacije v angleškem jeziku na profesionalnem nivoju, smisel za odgovornost, dobra oraniziranost in sposobnost za opravljanje več opravil hkrati (multitasking), odgovornost in sposobnost reševanja problemov, natančnost.    Ponujamo   Delovno mesto ponuja: Nadpovprečen osebni dohodek v višini 2100 eur bruto Dolgoročno zaposlitev v stabilnem podjetju, ki proizvaja izdelke za medicinsko in farmacevtsko industrijo. Redno delovno razmerje s šestmesečno poskusno dobo. Uvodno usposabljanje na sedežu matičnega podjetja v Švici.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev   Mesečno plačilo                               2000 - 2500 € bruto"
Administrator v telefonskem studiu (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-telefonskem-studiu-mz-693160-693160/,24.04.2019,04:02,04.04.2019,Powerserv d.o.o.,"Lizbona, Portugalska",https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-telefonskem-studiu-mz-693160-693160/,"Fokus podjetja Powerserv, d.o.o. je v kadrovskih in kariernih rešitvah, izdelanih po meri, ki jih odlikujeta kompetentno svetovanje in visoka kakovost storitev. Iskalcem zaposlitve pomagamo do njihove zaposlitve, podjetjem poiščemo primerne kadre. Smo podjetje z več kot 30 letno tradicijo v tujini in 12 letno tradicijo v Sloveniji. Več o nas najdete na www.powerserv.si ali Facebook strani Powerserv Slovenia.Naša stranka je vodilno podjetje v svetu na področju upravljanja odnosov s strankami in klicnimi centri, zaposluje približno 180.000 ljudi v več kot 60 državah. Leta 2015 pa je bilo že šestič  s strani Inštituta ""Great Place to Work"" izbrano za najboljšo družbo na Portugalskem.V podjetju zaposlijo: ADMINISTRATOR V TELEFONSKEM STUDIU (m/ž)(Lizbona, Portugalska) Opis delovnega mesta   Naloge in odgovornosti Prevzemali boste telefonsko skrb za podjetja, kot so Asos, Canon, Netflix, Michael Kors in še veliko drugih (iz področij telekomunikacije, potovalne industrije, igre itd..). Skupaj z majhno, nemško govorečo ekipo (5-8 oseb), boste odgovorni za zadovoljstvo strank. Projekt, na katerem boste delali v naslednjih osmih do dvanajstih mesecih, si boste izbrali sami. Ne gre za akviziterstvo. Izdelki, ki jih boste ponujali, so za stranke zanimivi.    Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: Govorite zelo dobro nemško. Znanje angleščine je dodaten plus. Komunikacija v tujem jeziku vam predstavlja izziv in veselje. Ste učinkoviti in prijazni pri konverzaciji preko telefona. Več kulturno okolje vas bogati in navdušuje. Želite živeti v tujini najmanj 12 mesecev in razširiti svoja obzorja.    Ponujamo   Delovno mesto ponuja: Popolnoma organizirano in financirano bivanje v tujini. Jezikovne tečaje, nastanitev, vodni športi in še veliko več. Povračilo stroškov letalske karte. Več tednov poklicnega usposabljanja za telefonsko podporo strankam. Verjetno največjo zabavo v vašem življenju, predvsem v času poletja. Mednarodna ekipa sodelavcev. Pogodbena minimalna plača na Portugalskem, ki znaša za to delovno mesto 949,56 EUR na mesec. Privlačen, realističen model provizije (do 1.000 EUR na mesec) zraven osnovne plače. Oblika zaposlitve: polni delovni čas (40 ur / teden).    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 3 mesece"
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-692456-692456/,24.04.2019,04:03,28.03.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-692456-692456/,
Agent za delo v klicnem centru (m/ž) - pospeševanje prodaje časopisa,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-pospesevanje-prodaje-casopisa-692061-692061/,24.04.2019,04:03,29.03.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-pospesevanje-prodaje-casopisa-692061-692061/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje časopisov, stik s strankami je prijazen in seveda profesionalen, ciljna skupina strank so starejši ljudje, kateri berejo časopise.   Pričakujemo   Od kandidata pričakujemo: komunikativno osebo, pripravljenost pomagati ekipi, stremijo k napredku celotne ekipe. Odprti smo tudi za razne nasvete, kako bi se dalo kakšno stvar izboljšati.   Ponujamo   Delovno mesto ponuja: možnost napredka tudi na ostale položaje v podjetju (administracija,..itd.), pri poslovni stavbi je poskrbljeno tudi za parkiranje, saj imamo svoja parkirna mesta. Našo ekipo sestavljajo, mladi fantje in dekleta, polni veselja, zagriženosti do dela in napredka. Imamo tudi ""Team buildinge"", kjer se s celotno ekipo sprostimo in pustimo službo malo na strani."
