VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Računovodja m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/racunovodja-mz-721874-721874/,12.02.2020,02:03,04.02.2020,PUN nepremičnine d.o.o. Ljubljana,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/racunovodja-mz-721874-721874/,"Podjetje PUN nepremičnine d.o.o. je na trgu prisotno več kot 20 let. Specializirani smo za upravljanje stanovanj in stanovanjskih hiš, poslovnih in garažnih objektov, skladno z določili Stanovanjskega zakona in Pravilnika o upravljanju večstanovanjskih stavb. Imamo raznovsrten kolektiv, ki je po večini univerzitetno izobražen.Priložnost nudimo novemu sodelavcu (m/ž) na področju računovodstva. Opis delovnega mesta   Naloge in odgovornosti: priprava poslovne dokumentacije za knjiženje, uskladitev terjatev in obveznosti s poslovnimi partnerji, sestavljanje raznih dopisov, predračunov, ponudb, računov, ipd.,  sestavljanje raznih zahtevkov do državnih institucij, pregled ustreznosti listin v skladu z zakonodajo, kontroliranje prejetih in izdanih listin ter njihove evidentiranje, evidentiranje poslovnih dogodkov v predpisane davčne evidence, izdelava knjig po zakonodaji o davku na dodano vrednost, ter vodenje drugih pomožnih evidenc na podlagi davčnih predpisov, izdelava opominov za zapadle neplačane terjatve komitentov, izdelava četrtletne, polletne in letne bilance stanja, izdelava izkaza bilančnega dobička ali izgube, izdelava pojasnil in razkritij k računovodskim izkazom, računovodska analiza z izborom nekaj ključnih kazalnikov poslovanja, obračun DDV in vseh drugih obračunov po zakonu o DDV ter vodenje davčnih knjig in evidenc po zakonu o  davku na dodano vrednost, izdelava obračuna davka od dohodka pravnih oseb ter vodenje ustreznih evidenc, izdelava obračuna davka od dohodka od oddajanja nepremičnin za fizične osebe, izdelava obračuna davčnega odtegljaja za izplačila dohodkov z virom v Sloveniji po zakonu o davku od dohodkov pravnih oseb ter pomoč stranki pri uveljavljanju ugodnosti iz meddržavnih sporazumov, drugi davčni predračuni in obračuni po potrebi, spremljanje sprememb zakonodaje, standardov, pravil, ostale naloge po navodilih nadrejenega.    Delovni čas polni delovni čas   Pričakujemo   Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: najmanj V. stopnjo izobrazbe zaželeno poznavanje programov Imagine (iFinance, iPay, iPartments,...) komunikativnost in sposobnost dela v timu, izredna natančnost pri delu, kvalitetno in pravočasno opravljanje nalog, odgovornost za uspešen zaključek projekta v skladu z razpoložljivimi sredstvi, viri in v dogovorjenih časovnih okvirih, natančno in pravočasno pripravljeni zaključni računi, gospodarno ravnanje z delovnimi sredstvi, skrb za varno opravljanje dela, izvajanje dela v skladu z zakoni, predpisi in standardi, varovanje poslovne tajnosti in varovanje ugleda podjetja.    Ponujamo   Delovno mesto ponuja: zaposlitev za nedoločen čas, urejen delovnik od ponedeljka do petka, dopoldansko delo.    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev"
Delavec v proizvodnji - operater na brusilnem stroju Koyama (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-operater-na-brusilnem-stroju-koyama-mz-721902-721902/,12.02.2020,02:03,04.02.2020,Livar d.d.,Ivančna Gorica,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-operater-na-brusilnem-stroju-koyama-mz-721902-721902/,"Livar d. d. je največja livarna železnih litin v Sloveniji s 65-letno tradicijo. Specializirani smo za proizvodnjo produktov iz sive in nodularne litine z lastno mehansko obdelavo. Z našimi produkti smo prisotni skoraj po vsem svetu in v različnih industrijskih panogah.Za uresničevanje naših ciljev v svojo ekipo vabimo večje število novih sodelavcev.DELAVEC V PROIZVODNJI - OPERATER NA BRUSILNEM STROJU KOYAMA (m/ž) Opis delovnega mesta   Naloge in odgovornosti: opravljanje del na avtomatskem brusilnem stroju KOYAMA v skladu s predpisanim tehnološkim postopkom; nastavljanje stroja po programu; nadzor nad delovanjem stroja in opreme; nadzor nad kvaliteto izdelkov in izločanje slabih kosov; vzdrževanje in čiščenje delovne okolice v okviru predpisov; ostala dela po nalogu nadrejenega.    Pričakujemo   Od kandidata pričakujemo: zaključena najmanj srednja poklicna šola, zaželeno tehnične smeri; zaželene delovne izkušnje; delovne navade ter pripravljenost na delo; natančnost, samostojnost pri delu; pripravljenost na delo v treh izmenah.    Ponujamo   Delovno mesto ponuja: pogodbo za določen čas s poskusno dobo in možnostjo zaposlitve za daljše časovno obdobje; zanimivo in dinamično delo; delo v prijetnem kolektivu; možnost osebnega in poklicnega razvoja."
Voznik - komercialist (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/voznik-komercialist-mz-721879-721879/,12.02.2020,02:03,04.02.2020,"Imperija kadrovanje, Jure Jambrovič s.p.",Ljubljana in teren po Sloveniji,https://www.optius.com/iskalci/prosta-delovna-mesta/voznik-komercialist-mz-721879-721879/,"Vas veseli delo z ljudmi, hkrati pa uživate v vožnji? Si želite več samostojnosti ter dinamike pri delu in želite biti nagrajeni za dobro delo? Za veliko in uspešno slovensko podjetje iščemo sodelavca za dolgoročno zaposlitev na delovnem mestu Voznik-komercialist. Ker je pri delu potrebno dvigniti tudi težje artikle (npr. zemljo, sadike), je delo bolj primerno za moškega. Delo poteka na način, da z vozilom obiskujete stranke in jim prodajate ter dostavljate blago. Zaželen je izpit C kategorije, ni pa pogoj. Podjetje se nahaja v Ljubljani, zaposlitev je direktno pri naročniku.Več tudi na www.imperija-kadrovanje.com Opis delovnega mesta   Naloge in odgovornosti: terenska prodaja in dostava blaga (lončnic, grmovnic, ,...) s kamionom C kategorije (izpit je prednost, ni pa pogoj) komuniciranje z obstoječimi in potencialnimi novimi poslovnimi partnerji o njihovih željah, potrebah in reklamacijah (če obstajajo) organiziranje in operativno sodelovanje v prodajnih akcijah, sejmih, promocijah... samostojna izdelava ponudbene in pogodbene dokumentacije priprava podatkov za izdajo računov in predračunov dnevno urejanje administrativne korespondence    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: odlično sposobnost komuniciranja z ljudmi natančnost, vestnost, urejenost delovne navade predhodno predznanje in obvladovanje komercialnih del je prednost vozniški izpit B in C kategorije (slednji ni pogoj, je pa zaželen) psihofizične sposobnosti    Ponujamo   Delovno mesto ponuja: samostojnost stimulativno plačilo ob dobrem delu prijeten kolektiv prilagodljiv delovni čas    Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 6 mesecev"
Preglednik vozil na tehničnih pregledih (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/preglednik-vozil-na-tehnicnih-pregledih-mz-721857-721857/,12.02.2020,02:03,04.02.2020,Produkt d.o.o.,Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/preglednik-vozil-na-tehnicnih-pregledih-mz-721857-721857/,"Zaradi konstantne rasti v naš kolektiv vabimo preglednika/kontrolorja na tehničnih pregledih.Za opravljanje dela je potrebno opraviti izpit za kontrolorja. Zaželeno je, da imate opravljen izpit, ni pa pogoj. Zato pozivamo tudi vse, ki nimate opravljenega izpita vendar imate izpolnjene pogoje. Opis delovnega mesta   Naloge in odgovornosti: Pogoji za opravljanje dela preglednik/kontrolor na tehničnih pregledih vozil:višješolska izobrazba: avtoservisni inženir, inženir elektroenergetike, inženir elektronike, inženir logistike, inženir mehatronike, inženir strojništva, poklicna-tehnična izobrazba: avtoservisni tehnik, elektrotehnik, elektrotehnik elektronik, elektrotehnik energetik, logistični tehnik, prometni tehnik, strojni tehnik, tehnik mehatronike, srednja strokovna izobrazba: elektrotehnik, elektrotehnik elektronik, elektrotehnik energetik, logistični tehnik, prometni tehnik, strojni tehnik, tehnik mehatronike, ali mojstrski izpit: avtokleparski mojster, avtoličarski mojster, elektroinštalaterski mojster, mojster avtoelektrikar, mojster avtomehanik, mojster strojne mehanike, mojster strojnih inštalacij ... in najmanj tri leta delovnih izkušenj v avtoservisni stroki na področju servisiranja ali popravil vozil.   Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.,                                    VI/2.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: vozniški izpit B kategorije (zaželena tudi A in C kategorija, ni pa nujno) računalniška znanja (delo s preglednicami, podatkovnimi bazami in specialnimi programi tehničnih pregledov) znanje slovenskega jezika (odlično govorno in pisno) in znanje angleškega jezika (osnovno)    Ponujamo   Delovno mesto ponuja: Nudimo zaposlitev za določen delovni čas z možnostjo podaljšanja za nedoločen delovni čas. Delo je dvoizmensko (7:00-13:30 in 13:30-20:00) in dve delovni soboti na mesec (od 7:00 do 13:00).   Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Mesečno plačilo                               po dogovoru"
Specialist v tehnični službi (poprodaji) (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/specialist-v-tehnicni-sluzbi-poprodaji-mz-721878-721878/,12.02.2020,02:03,04.02.2020,"KMAG, Kia Motors Adria Group",Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/specialist-v-tehnicni-sluzbi-poprodaji-mz-721878-721878/,
Senior Share Point Razvijalec / Senior Microsoft SharePoint Developer (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/senior-share-point-razvijalec-senior-microsoft-sharepoint-developer-mz-721886-721886/,12.02.2020,02:03,04.02.2020,ENTERPRYZE d.o.o.,"Bruselj, Belgija (lokacija organizacije NATO)",https://www.optius.com/iskalci/prosta-delovna-mesta/senior-share-point-razvijalec-senior-microsoft-sharepoint-developer-mz-721886-721886/,"Smo mednarodno svetovalno podjetje, specializirano za zagotavljanje številnih svetovalnih storitev, zunanjih rešitev in storitev razvoja aplikacij za vladne in nevladne organizacije.  Iščemo strokovnjake na različnih IT področjih. Opis delovnega mesta   Naloge in odgovornosti: Naloge:Izvaja aktivnosti razvoja: opredelitev zahtev, testiranje in svetovanje Izvaja aktivnosti za izvajanje novih funkcionalnosti v ERP sistem, ki vključujejo vse potrebne dejavnosti (analiza, razvoj, testiranje, dokumentacija, uvajanje ipd.) Rešuje funkcionalne in tehnične incidente ter zahtevke Izvaja spremembe in popravke v skladu z zahtevami Zagotavlja prenos znanja na sodelavce  Duties / role:Lead design activities: defining requirements, testing and provide professional consultancy to the organization Lead the Organization throughout the implementation of new functionalities in their ERP system, to include all required activities (analysis, development, testing, documentation, deployment etc.) Resolve functional and technical incidents and service requests as reported Implement system changes and patches as approved, to include all required activities Provide knowledge transfer to staff of the Organization    Pričakujemo   Od kandidata pričakujemo: Znanja:Aktivno znanje angleškega jezika Vsaj 6 let izkušenj pri oblikovanju, vzpostavitvi, strukturiranju, analiziranju, konfiguriranju razvijanju, testiranju in uvajanju platform SharePoint 2010/2013/2016 Site Collections Dobro znanje HTML, CSS in JavaScript, izkušnje s SharePoint Designer 2010/2013 Vsaj 2 leti izkušenj s programom SharePoint 2010/2013/2016 Development (Web Parts, Event Receivers, itd.) Izkušnje z Visual Studio z uporabo ene ali več od naslednjih tehnologij: CSOM, JSOM, Server Side C#, jQuery, React JS, Vue JS, Angular JS, Typescript, AJAX, Web API, ali druge Osnovna znanja z administriranjem SharePoint 2010/2013/2016 Farms z uporabo Central Admin in PowerShella Sposobnost analizirati incidente in zahtevke za spremembe, priporočiti ter izvajati spremembe v poslovni proces in nastavitve sistema Znanje francoskega jezika predstavlja prednost  Essential Qualifications/Experience:Language: High proficiency level in English language 6+ years of experience in designing, building, structuring, analysing, configuring, developing, testing and deploying SharePoint 2010/2013/2016 Site Collections: good working knowledge of HTML, CSS and JavaScript; having worked with SharePoint Designer 2010/2013 2+ years of experience with SharePoint 2010/2013/2016 Development (e.g. Web Parts, Event Receivers, etc.) with Visual Studio using one or more of the following technologies/languages/object models/libraries: CSOM, JSOM, Server Side C#, jQuery, React JS, Vue JS, Angular JS, Typescript, AJAX, Web API, REST Basic working knowledge about/experience with administering/managing SharePoint 2010/2013/2016 Farms using Central Admin and PowerShell Ability to analyse and review incidents and change requests, and recommend and implement changes to the business processes and functional system setup Knowledge of French language would be a plus    Ponujamo   Delovno mesto ponuja: Edinstvene izkušnje v prepoznavni mednarodni organizaciji Priložnost za delo na dolgi rok z najsodobnejšo tehnologijo Osebni in karierni razvoj Raznoliko delo s profesionalnim in zavzetim timom Unique experiences in a recognizable international organization Opportunity to work long-term with the latest technology Personal and career development in a diverse environment with a professional and committed team    Mesečno plačilo                               po dogovoru                                                                         Podjetje ponuja stimulativno plačilo v skladu s plačilno politiko organizacije in delovnimi izkušnjami."
"Oracle svetovalec / Oracle Functional Consultant for Hyperion Planning, Budgeting and Financial Data Management (m/ž)",https://www.optius.com/iskalci/prosta-delovna-mesta/oracle-svetovalec-oracle-functional-consultant-for-hyperion-planning-budgeting-and-financial-data-management-mz-721883-721883/,12.02.2020,02:03,04.02.2020,ENTERPRYZE d.o.o.,"Bruselj, Belgija (lokacija organizacije NATO)",https://www.optius.com/iskalci/prosta-delovna-mesta/oracle-svetovalec-oracle-functional-consultant-for-hyperion-planning-budgeting-and-financial-data-management-mz-721883-721883/,"V kolikor vas zanima delo kot svetovalec za Oracle v izjemnem mednarodnem okolju, ste zagotovo na karierni poti k nam.Enterpryze je mednarodno svetovalno podjetje, specializirani smo za zagotavljanje številnih svetovalnih storitev, zunanjih rešitev in storitev razvoja aplikacij za vladne in nevladne organizacije.  Opis delovnega mesta   Naloge in odgovornosti: Izvaja tehnično in funkcionalno podporo na naslednjih področjih: Oracle E-Business Suite Financials Oracle Performance Management Enterprise Oracle Single Sign-on Oracle Hyperion Public Sector Planning and Budgeting Oracle Hyperion Financial Data Management Oracle Enterprise Asset Management Enterprise Enterprise Single Sign-On Suite Plus Oracle Projects (Billing and Costing)  Širi zmogljivosti za različna omrežja/okolja Izboljšuje integracijo med OT Documentum, Microsoft SharePoint in spletnimi aplikacijami Zagotavljanje novih zmogljivosti/funkcionalnosti za podporo spremembam poslovnih praks Technical and functional support in the following areas: Oracle E-Business Suite Financials Oracle Performance Management Enterprise Oracle Single Sign-on Oracle Hyperion Public Sector Planning and Budgeting Oracle Hyperion Financial Data Management Oracle Enterprise Asset Management Enterprise Enterprise Single Sign-On Suite Plus Oracle Projects (Billing and Costing)  Expansion of capabilities to different networks/environments Enhanced integration between OT Documentum, Microsoft SharePoint, and Web based applications Provide new capabilities/functionality to support changing business practices    Pričakujemo   Od kandidata pričakujemo: Aktivno znanje angleškega jezika Vsaj 5 let izkušenj z delom ali v podpori Oracle Hyperion Planning & Budgeting operativne izkušnje z Oracle Financial Data Management (FDMEE) Poznavanje Administration Hyperion Essbase Vsaj 3 leta izkušenj s ključnimi kazalniki uspešnosti (KPI Performance Management) Sposobnost za analiziranje in pregled incidentov ter zahtevkov za spremembe. Sposobnost predlagati in izvajati spremembe poslovnih procesov in funkcionalnih nastavitev Sistema. Osnovno razumevanje Oracle E-Business Suite General Ledger Znanje francoskega jezika predstavlja prednost Essential Qualifications/Experience:Language: High proficiency level in English language 5+ years of experience in implementing or supporting Oracle Hyperion Planning & Budgeting Functional experience with Oracle Financial Data Management (FDMEE) Knowledge of Administrating Hyperion Essbase 3+ years of experience in KPI Performance management Ability to analyse and review incidents and change requests and recommend and implement changes to the business processes and functional system setup Basic understanding of Oracle E-Business Suite General Ledger Knowledge of French language would be a plus    Ponujamo   Delovno mesto ponuja: Edinstvene izkušnje v prepoznavni mednarodni organizaciji Priložnost za delo na dolgi rok z najsodobnejšo tehnologijo Osebni in karierni razvoj Stimulativno plačilo Raznoliko delo s profesionalnim in zavzetim timom Unique experiences in a recognizable international organization Opportunity to work long-term with the latest technology Stimulating payment Personal and career development in a diverse environment with a professional and committed team    Mesečno plačilo                               po dogovoru                                                                         Podjetje ponuja stimulativno plačilo v skladu s plačilno politiko organizacije in delovnimi izkušnjami."
Razvojnik specialist za Oracle Business Intelligence / Expert Oracle Business Intelligence Developer (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/razvojnik-specialist-za-oracle-business-intelligence-expert-oracle-business-intelligence-developer-mz-721880-721880/,12.02.2020,02:03,04.02.2020,ENTERPRYZE d.o.o.,"Bruselj, Belgija (lokacija organizacije NATO)",https://www.optius.com/iskalci/prosta-delovna-mesta/razvojnik-specialist-za-oracle-business-intelligence-expert-oracle-business-intelligence-developer-mz-721880-721880/,"Če vas zanima Oracle BI in si želite novega izziva v mednarodni organizaciji vas vabimo da se prijavite za razvojnika za Oracle Business Intelligence.Enterpryze Consulting je mednarodno svetovalno podjetje, specializirani smo za zagotavljanje številnih svetovalnih storitev, zunanjih rešitev in storitev razvoja aplikacij za vladne in nevladne organizacije.   Opis delovnega mesta   Naloge in odgovornosti: Naloge:Splošna pomoč za ERP Project management ter pri opredeljevanju zahtev Analiziranje, konfiguriranje, razvoj in uvajanje modulov ter aplikacij (Oracle EBS ali druge) Integracija drugih aplikacij z ERP Izvaja aktivnosti razvoja: opredelitev zahtev, testiranje in svetovanje Izvaja aktivnosti za izvajanje novih funkcionalnosti v ERP sistem, ki vključujejo vse potrebne dejavnosti (analiza, razvoj, testiranje, dokumentacija, uvajanje ipd.) Rešuje funkcionalne in tehnične incidente ter zahtevke Izvaja spremembe in popravke v skladu z zahtevami Zagotavlja prenos znanja na sodelavce  Duties / role:Assist on the general ERP project Management and in defining the requirements Analyse, configure, develop and deploy modules and application (Oracle EBS or other platforms) Interface legacy applications with the ERP Lead design activities: defining requirements, testing and provide professional consultancy to the organization Lead the Organization throughout the implementation of new functionalities in their ERP system, to include all required activities (analysis, development, testing, documentation, deployment etc.) Resolve functional and technical incidents and service requests as reported Implement system changes and patches as approved, to include all required activities Provide knowledge transfer to staff of the Organization    Pričakujemo   Od kandidata pričakujemo: Znanja:Aktivno znanje angleškega jezika Vsaj 10 let izkušenj pri oblikovanju in priporavi poročil z Oracle Business Intelligence Enterprise Edition Odlične sposobnosti za zajemanje in analiziranje poročanja in oblikovanja ter izdelave poročil Izkušnje pri razvoju poročil z Oracle eBusiness Suite Široka znanja: Oracle SQL in PL/SQL Modeliranje podatkov  Poznavanje ‘star’ shem in podatkovnih kock  Essential Qualifications/Experience:Language: High proficiency level in English language 10+ years of experience in designing and building reports with Oracle Business Intelligence Enterprise Edition Excellent skills for capturing and analyzing reporting requirements and designing and building reports Experience in developing reports on Oracle eBusiness Suite Extensive knowledge of: Oracle SQL and PL/SQL Data modelling  Knowledge of star schemas and database cubes    Ponujamo   Delovno mesto ponuja: Edinstvene izkušnje v prepoznavni mednarodni organizaciji Priložnost za delo na dolgi rok z najsodobnejšo tehnologijo Osebni in karierni razvoj Raznoliko delo s profesionalnim in zavzetim timom Unique experiences in a recognizable international organization Opportunity to work long-term with the latest technology Personal and career development in a diverse environment with a professional and committed team    Mesečno plačilo                               po dogovoru                                                                         Podjetje ponuja stimulativno plačilo v skladu s plačilno politiko organizacije in delovnimi izkušnjami."
Prodajalec m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-721835-721835/,12.02.2020,02:03,04.02.2020,"Odeja, d.o.o.",Nova Gorica,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-721835-721835/,"Že od leta 1932 smo vodilni slovenski proizvajalci vrhunskih prešitih tekstilnih izdelkov za dom. Naše prešite odeje, vzglavnik, posteljnina, nadvložki in dekorativni izdelki za polepšanje doma so izdelki, s katerimi skrbimo za vaše dobro počutje doma. Pri našem delu želimo biti najboljši, zato v vsak proizvod všijemo svoje spoštovanje do vašega dobrega počutja.Več o nas: www.odeja.siV svoj kolektiv vabimo novega sodelavca Prodajalca (m/ž). Opis delovnega mesta   Naloge in odgovornosti: svetovanje kupcem prodaja hišnega tekstila pisanje poročil in poročanje vodstvu skrb za urejenost trgovine spremljanje zalog izdelkov proaktivnost, samoiniciativnost obvladovanje blagajniškega poslovanja    Pričakujemo   Od kandidata pričakujemo: srednje poklicno izobrazbo (trgovska ali srednja strokovna šola - IV. ali V. stopnja izobrazbe) vsaj 1 leto delovnih izkušenj znanje italijanskega jezika računalniško znanje - poznavanje Microsoft orodij vozniški izpit B kategorije in lasten prevoz    Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas 6 mesecev, z možnostjo podaljšanja oziroma trajnega sodelovanja polni delovni čas izmensko delo"
Vodja franšizne trgovine m/ž,https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-fransizne-trgovine-mz-721826-721826/,12.02.2020,02:03,04.02.2020,"Odeja, d.o.o.",Nova Gorica,https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-fransizne-trgovine-mz-721826-721826/,"Že od leta 1932 smo vodilni slovenski proizvajalci vrhunskih prešitih tekstilnih izdelkov za dom. Naše prešite odeje, vzglavnik, posteljnina, nadvložki in dekorativni izdelki za polepšanje doma so izdelki, s katerimi skrbimo za vaše dobro počutje doma. Pri našem delu želimo biti najboljši, zato v vsak proizvod všijemo svoje spoštovanje do vašega dobrega počutja.Več o nas: www.odeja.siV svoj kolektiv vabimo Vodjo franšizne trgovine m/ž, ki bo prevzela franšizo dela trgovini v Novi Gorici.  Opis delovnega mesta   Naloge in odgovornosti: samostojno vodenje trgovine organizacija dela pisanje poročil in poročanje vodstvu spremljanje planov prodaje in realizacija le teh proaktivnost, samoiniciativnost spremljanje zalog in organizacija inventure obvladovanje blagajniškega poslovanja svetovanje kupcem prodaja hišnega tekstila    Pričakujemo   Od kandidata pričakujemo: srednja poklicna (trgovska ali srednja strokovna šola - IV. ali V. stopnjo izobrazbe vsaj 3 leta delovnih izkušenj znanje italijanskega jezika računalniško znanje - poznavanje Microsoft orodij vozniški izpit B kategorije in lasten prevoz    Ponujamo   Delovno mesto ponuja: sodelovanje preko s.p. oziroma pogodbenega dela samostojna organizacija svojega dela in dela sodelavcev vodenje utečenega posla s propoznavno blagovno znamko Odeja"
Vodja oddelka delikatese (m/ž) - Spar Šentjernej,https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-oddelka-delikatese-mz-spar-sentjernej-721863-721863/,12.02.2020,02:03,04.02.2020,Spar Slovenija d.o.o.,Šentjernej,https://www.optius.com/iskalci/prosta-delovna-mesta/vodja-oddelka-delikatese-mz-spar-sentjernej-721863-721863/,Vodja oddelka delikatese (m/ž) - Spar Šentjernej
Strojni tehnik (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/strojni-tehnik-mz-721866-721866/,12.02.2020,02:03,04.02.2020,Nuova Personaldienstleistung GmbH,Avstrija,https://www.optius.com/iskalci/prosta-delovna-mesta/strojni-tehnik-mz-721866-721866/,"Nuova je podjetje usmerjeno doseganju visoke kvalitete. S svojo izredno fleksibilnostjo in izjemno sposobnostjo odzivnosti na specifične individualne zahteve, nudi kompetentne rešitve na kadrovskih storitvah. Za Nuovo so, tako odnosi s strankami kot tudi osebna podpora strank in stalna skrb za zaposlene, visoka prioriteta.Ljudje delajo z ljudmi. Opis delovnega mesta   Naloge in odgovornosti: montaže v strojništvu in pri gradnji objektov samostojno vzdrževanje in popravila branje načrtov in proizvodnih skic    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 4 - 5 let   Od kandidata pričakujemo: zaključena izobrazba na področju mehatronike, strojništva, elektrotehnike, kovinske tehnologije ali primerljivega usposabljanja zahtevane so delovne izkušnje dobro znanje v hidravliki dobro znanje v pnevmatiki znanje varjenja je prednost pripravljenost na izobraževanje in usposabljanje zmogljivost visoke obremenitve in fleksibilnost lasten avto za dosego kraja dela je prednost zelo dobro znanje nemškega jezika govorno in pisno (B1-B2) pripravljenost na delo v dveh izmenah    Ponujamo   Delovno mesto ponuja: zaposlitev za polni delovni čas raznoliko delo kolektivno določena minimalna plača se začne pri 2.205,18 EUR bruto na mesec Glede na posebne usposobljenosti in izkušnje, je na voljo ustrezna pripravljenost za preplačilo!   Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 1 mesec   Mesečno plačilo                               2000 - 2500 € bruto                                                                         plačilo po avstrijski kolektivni pogodbi"
Elektrotehnik (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/elektrotehnik-mz-721865-721865/,12.02.2020,02:03,04.02.2020,Nuova Personaldienstleistung GmbH,Gradec,https://www.optius.com/iskalci/prosta-delovna-mesta/elektrotehnik-mz-721865-721865/,"Delamo za ljudi in z ljudmi.Nuova je podjetje usmerjeno doseganju visoke kvalitete. S svojo izredno fleksibilnostjo in izjemno sposobnostjo odzivnosti na specifične individualne zahteve, nudi kompetentne rešitve na kadrovskih storitvah. Za Nuovo so, tako odnosi s strankami kot tudi osebna podpora strank in stalna skrb za zaposlene, visoka prioriteta. Ljudje delajo z ljudmi. Opis delovnega mesta   Naloge in odgovornosti: vezava omaric montaža električnih in mehaničnih delov v celoto ožičenje in označevanje elektrotehničnih komponent polaganje in povezovanje priključnih kablov branje načrtov in dokumentacije    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.                     Zahtevane delovne izkušnje 1 - 3 let   Od kandidata pričakujemo: zaključeno tehnično usposabljanje (mehatronika, elektrotehnika in s tem povezani poklici) potrebne so poklicne izkušnje zelo dobro znanje nemškega jezika govorno in pisno (nivo B2-C1) pripravljenost na delo v dveh izmenah ali fiksni nočni sposobnost timskega dela, motiviranost in zavedanje o kakovosti    Ponujamo   Delovno mesto ponuja: stalna zaposlitev s polnim delovnim časom raznoliko delo možnost parkiranja na samem kraju dela Fiksna minimalna plača po kolektivni pogodbi (diploma) znaša € 2.260,31 - bruto/mesec. Vendar pa ponujamo tržno kompatibilno plačilo glede na vaše kvalifikacije in pridobljene izkušnje.   Oblika zaposlitve ali sodelovanja zaposlitev za nedoločen čas   Poskusno delo: 1 mesec   Mesečno plačilo                   plačilo po avstrijski kolektivni pogodbi"
Prodajni svetovalec na telefonu (m/ž),https://www.optius.com/iskalci/prosta-delovna-mesta/prodajni-svetovalec-na-telefonu-mz-721847-721847/,12.02.2020,02:03,04.02.2020,STARPOINT d.o.o.,Izola,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajni-svetovalec-na-telefonu-mz-721847-721847/,"Podjetje Starpoint d.o.o. je mlado podjetje z ambicioznimi, visokimi cilji, ki ponuja dinamično delovno okolje. Zaradi povečanega obsega dela zaposlimo dva sodelavca za delo kot Prodajni svetovalec na telefonu (m/ž). Opis delovnega mesta   Naloge in odgovornosti: sprejem klicev vnos naročil v sistem predstavitev produktov in svetovanje klicanje strank iz lastne baze    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    V.                     Zahtevane delovne izkušnje 0 - 1 leto   Od kandidata pričakujemo: Od kandidatov pričakujemo izrazito željo po novih izkušnjah, prodajno usmerjenost, veselje do dela z ljudmi, ambicioznost in vztrajnost.   Ponujamo   Delovno mesto ponuja: Nudimo razgibano delo v mladem kolektivu z možnostjo napredovanja.   Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Poskusno delo: 1 mesec   Mesečno plačilo                               po dogovoru                                                                         fiksni del + variabila"
