VacancyPost,LinkToJV,ScrapeDate,ScrapeTime,PostDate,Firm,VacancySite,SourceLink,Content
Account manager - računovodja (m/ž) v Kopru,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-kopru-696416-696416/,22.05.2019,04:02,09.05.2019,Trenkwalder kadrovske storitve d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-kopru-696416-696416/,"Si organiziran in predan računovodja? Meniš, da je čas za novo stopničko na karierni poti in si želiš dela v urejenem delovnem okolju, kjer bo tvoje dobro delo prepoznano in ti bo omogočalo napredovanje? Izkoristi priložnost in se pridruži lokalni ekipi sodelavcev. Opis delovnega mesta   Naloge in odgovornosti poslovno in davčno svetovanje strankam na področju računovodskih storitev, opravljanje vseh knjigovodsko-računovodskih storitev, knjiženje, obračun DDV, obračun plač, izdelava zaključnih računov.    Pričakujemo   Od kandidata pričakujemo: vsaj dve leti izkušenj z delom v računovodskem servisu, veselje do dela s strankami, poznavanje knjiženja, obračuna DDV, izdelave plač in zaključnih računov, znanje tujih jezikov predstavlja prednost.    Ponujamo   Delovno mesto ponuja: delovni izziv v rastočem računovodskem podjetju, zaposlitev za nedoločen čas, urejen delovni čas (od 7:00 – 15:00) in številne bonitete za zaposlene (pikniki in dogodki, več prostih dni…), možnost kariernega razvoja in napredovanja znotraj podjetja, izobraževanja in zagotavljanje virov informacij, ki so potrebni za uspešno delo, usmeritev na posamezen segment strank."
Account manager - računovodja (m/ž) v Novi Gorici,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-novi-gorici-696414-696414/,22.05.2019,04:02,09.05.2019,Trenkwalder kadrovske storitve d.o.o.,Nova Gorica,https://www.optius.com//iskalci/prosta-delovna-mesta/account-manager-racunovodja-mz-v-novi-gorici-696414-696414/,"Si računovodja s podjetniško žilico? Pridruži se lokalni ekipi sodelavcev v Novi Gorici in svoja znanja razvijaj v smeri pomoči in svetovanja strankam pri računovodskih storitvah. Zaposlitev v urejenem delovnem okolju v družini prijaznem podjetju čaka nate. Opis delovnega mesta   Naloge in odgovornosti poslovno in davčno svetovanje strankam na področju računovodskih storitev, opravljanje vseh knjigovodsko-računovodskih storitev, knjiženje, obračun DDV, obračun plač, izdelava zaključnih računov.    Pričakujemo   Od kandidata pričakujemo: vsaj dve leti izkušenj z delom v računovodskem servisu, veselje do dela s strankami in podjetniška žilica, poznavanje knjiženja, obračuna DDV, izdelave plač in zaključnih računov, znanje tujih jezikov predstavlja prednost.    Ponujamo   Delovno mesto ponuja: delovni izziv v rastočem računovodskem podjetju, zaposlitev za nedoločen čas, urejen delovni čas (od 7:00 – 15:00) in številne bonitete za zaposlene (pikniki in dogodki, več prostih dni…), možnost kariernega razvoja znotraj podjetja, izobraževanja in zagotavljanje virov informacij, ki so potrebni za uspešno delo, usmeritev na posamezen segment strank."
Administrator v financah m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-696807-696807/,22.05.2019,04:01,14.05.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-financah-mz-696807-696807/,
Administrator v komerciali (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-komerciali-mz-696937-696937/,22.05.2019,04:01,15.05.2019,"KMAG, Kia Motors Adria Group",Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-komerciali-mz-696937-696937/,
Administrator v komerciali (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-komerciali-mz-697167-697167/,22.05.2019,04:00,17.05.2019,INPRO d.o.o. Novo mesto,Novo mesto,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-v-komerciali-mz-697167-697167/,"Inpro d.o.o. Novo mesto je ponudnik konkurenčnih storitev s področja vsestranske obdelave zraka, izposoje in montaže šotorov ter industrijskih objektov, fotovoltaike in vseh podpornih poslovnih področij.V uspešen kolektiv podjetja Inpro d.o.o. Novo mesto vabimo novega sodelavca, za zasedbo delovnega mesta Administrator v komerciali (m/ž). Opis delovnega mesta   Naloge in odgovornosti Vodenje in arhiviranje dokumentacije komerciale, Priprava zahtevnejših tabelaričnih poročil v programu excel, Razporejanje dežurstev, Skrb za urejenost komercialne pisarne, Pomoč na sejmih, Intenzivno zasledovanje novih prodajnih priložnosti, • Priprava ponudb in spremljanje ter izvajanje aktivnosti za realizacijo ponudb, Urejanje evidenc komerciale: pogodbe, naročila, odpovedi, aktualni plasmaji, potencialni kupci… Klici po servisnih anketah, Ažurna in natančna priprava poročil, Pregled odprtih postavk kupcev, izterjava, Osnovna računovodska dela, Priprava ostalih poročil za potrebe kontrole poslovanja, Ostalo po navodilu vodje.    Pričakujemo   Od kandidata pričakujemo: Najmanj V. stopnjo izobrazbe ekonomske ali poslovne smeri, Vsaj dve leti delovnih izkušanj iz podobnih del, Izkušnje na področju administrativnih opravil, • Odlična komunikacija s strankami Dobra računalniška pismenost: napredno znanje MS office, Samoiniciativnost in natančnost, Željo po osebnem in kariernem razvoju, Sposobnost samostojnega dela in dela v timu, Ciljno orientiranost in odgovornost.    Ponujamo   Delovno mesto ponuja: Čas zaposlitve 1 leto, poskusno delo 6 mesecev, možnost dolgoročne zaposlitve za nedoločen čas. Možnost napredovanja, osebnega in kariernega razvoja."
Administrator za italijanski trg m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-696818-696818/,22.05.2019,04:01,14.05.2019,Kariera d.o.o.,Koper,https://www.optius.com//iskalci/prosta-delovna-mesta/administrator-za-italijanski-trg-mz-696818-696818/,
Agent v rezervacijskem centru (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-rezervacijskem-centru-mz-696825-696825/,22.05.2019,04:01,14.05.2019,CAR TARGET GROUP d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-v-rezervacijskem-centru-mz-696825-696825/,"Smo uspešno, hitro rastoče mednarodno podjetje, ki deluje v več kot 80-ih državah, s sedežem v Sloveniji, ki se ukvarja z posredništvom pri najemu vozil. Vabimo motiviranega in pozitivno naravnanega posameznika, da se pridruži naši ekipi oddelka za podporo strankam. Kandidat bo kot član ekipe klicnega centra predstavljal vrednote našega podjetja, skrbel za zadovoljstvo naših strank, ter opravljal rezervacije preko telefona in elektronske pošte.  Opis delovnega mesta   Naloge in odgovornosti podpora strankam in podajanje informacij o najemu vozil preko elektronske pošte, chat-a ali telefona, opravljanje in modificiranje rezervacij, reševanje pritožb, ustno in pisno komuniciranje v tujih jezikih, delo NE vključuje direktne prodaje.    Delovni čas polni delovni čas   Pričakujemo   Zahtevana izobrazba                                    IV.,                                    V.,                                    VI/1.,                                    VI/2.,                                    VII.,                                    VIII/1.,                                    VIII/2.                     Zahtevane delovne izkušnje Niso pomembne   Od kandidata pričakujemo: dobre komunikacijske spretnosti v angleškem in vsaj še enem dodatnem jeziku,  sposobnost dela s strankami in naravnanost na razumevanje strank, sposobnost timskega dela, samostojnost pri delu, odgovornost, ambicioznost in samoiniciativnost, sposobnost za reševanje problemov, računalniška pismenost, zaželene izkušnje poslovanja v podobnem oddelku podpore strankam ali v storitveni dejavnosti, Obvezno odlično govorno in pisno znanje angleškega jezika in hkrati odlično govorno in pisno znanje še enega izmed naštetih jezikov:Španščina, Francoščina Italijanščina, Nemščina, Portugalščina. Prednost pri izbiri predstavlja aktivno znanje tujih jezikov in ne dosežena formalna izobrazba.   Ponujamo   Delovno mesto ponuja: zaposlitev za določen čas s 2 mesečno poskusno dobo, možnost zaposlitve za nedoločen čas, kasnejšega napredovanja in kariernega razvoja, zaposlitev za polni delovni čas, izmensko delo, delo v pozitivnem, motivacijskem okolju, mlad in dinamičen kolektiv, redno in dobro plačilo, možnost dodatnih izobraževanj, osebnostna in poklicna rast. Z delom je možno pričeti takoj.    Oblika zaposlitve ali sodelovanja zaposlitev za določen čas   Mesečno plačilo                               po dogovoru"
Agent za delo v klicnem centru m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-696282-696282/,22.05.2019,04:02,08.05.2019,TOSA d.o.o.,Ljubljana Šentvid,https://www.optius.com//iskalci/prosta-delovna-mesta/agent-za-delo-v-klicnem-centru-mz-696282-696282/,"Za okrepitev naše ekipe iščemo sodelavca/ko, ki si želi dolgoročnega, resnega in zaupanja vrednega sodelovanja. Opis delovnega mesta   Naloge in odgovornosti Iščemo agenta/agentko za delo v klicnem centru, kot pospeševalec prodaje.Delo poteka od ponedeljka do petka vsak dan od 8:00 do 16:00 h.   Pričakujemo   Od kandidata pričakujemo: Zaželene so izkušnje iz tega področja.Agent mora biti komunikativn, ambiciozen, pozitivno naravnan in mora imeti veselje do dela. Smo mlad tim, vsi skupaj stremimo, da v pozitivnem okolju dosegamo mesečne in letne plane.   Ponujamo   Delovno mesto ponuja: Nudimo redno zaposlitev z poskusno dobo 1 mesec, kasneje možnost tudi za nedoločen čas.Poleg fiksne plače je tudi stimulacija."
Analitik II. - Mikrobiolog (m/ž),https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-ii-mikrobiolog-mz-697286-697286/,22.05.2019,04:00,20.05.2019,Wooshin LaPache d.o.o.,Grosuplje,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-ii-mikrobiolog-mz-697286-697286/,"Wooshin Lapache je podjetje ustanovljeno v Južni Koreji leta 1992, svoje produkte pa danes izvaža že v več kot 30 držav po svetu. V letu 2017 so v Grosupljem odprli podjetje, kjer je svoje mesto našla proizvodnja zdravil in medicinskih pripomočkov, predvsem hidrogelnih obližev in ODF, Wooshin Lapache.Zaradi povečanega obsega dela objavljamo prosto delovno mesto: Analitik II. - Mikrobiolog (m/ž). Opis delovnega mesta   Naloge in odgovornosti Izvajanje analiz, pregled rezultatov analiz ter analitičnih postopkov ter priprava protokolov in povzetkov poročil Priprava, pregled in posodabljanje specifikacij za vhodne materiale in končne izdelke, laboratorijskih analitičnih postopkov ter standardnih operativnih postopkov (SOP) Nabava reagentov, standardov ter steklovine za QC laboratorij, nadzor nad vsakodnevnimi delovnimi operacijami v QC laboratoriju, sodeluje pri internem in zunanjem testiranju materialov in izdelkov, podpora povezanim laboratorijskim funkcijam, zagotavljanje končne dokumentacije v skladu z GMP-jem in GLP-jem Sodelovanje pri validacijah, vzdrževanjih in kalibracijah QC opreme Upravljanje OOS /OOT in drugih odstopanj; sodelovanje pri obvladovanju sprememb in CAPA Vzdrževanje in izboljševanje postopkov v QC in mikrobiološkem laboratoriju Upravljanje in nadzor nad analiznimi inštrumenti (HPLC, GC, IR, UV, TOC, itd.) Vzorčenje in analiza vstopnih materialov Sodelovanje v globalnih in internih projektih    Pričakujemo   Od kandidata pričakujemo: Univerzitetna izobrazba farmacevtske smeri (ali primerljivo - kemija) Izkušnje z delom z ljudmi in skupinami v kompleksnem in kulturno raznolikem ter dinamičnem okolju, učinkovito podajanje idej in spodbujanje ostalih za doseganje rezultatov z dodano vrednostjo ter doseganje ciljev organizacije Dobre komunikacijske sposobnosti ter zmožnost dela v skupini ter učinkovito prepoznavanje prednostnih nalog pri delu Dobro poznavanje GXP-jev Razumevanje in prilagajanje načina dela skladno z lokalno in mednarodno zakonodajo, predpisi, direktivami in smernicami Tekoče znanje angleškega jezika Najmanj 1 leto delovnih izkušenj Kandidat mora obvezno imeti strokovno izobrazbo ter izkušnje iz mikrobiologije.   Ponujamo   Delovno mesto ponuja: Ponujamo vam opcijsko redno zaposlitev za določen čas z nekajmesečno poskusno dobo. Možnost podaljšanja pogodbe."
Analitik v kontrolingu m/ž,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-v-kontrolingu-mz-697446-697446/,22.05.2019,04:00,20.05.2019,Kariera d.o.o.,Ljubljana,https://www.optius.com//iskalci/prosta-delovna-mesta/analitik-v-kontrolingu-mz-697446-697446/,
